establecimiento,filas,dataset
"('COLEGIO PARTICULAR MIXTO DE INFANTES EMANUEL', 'baja_verapaz')",[],baja_verapaz
"('CENTRO ESTUDIANTIL MIGUEL ÁNGEL ASTURIAS', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO PARTICULAR MIXTO CIENCIA Y DESARROLLO', 'baja_verapaz')",[],baja_verapaz
"('CENTRO EDUCATIVO VERAPAZ DEL SUR', 'baja_verapaz')",[],baja_verapaz
"('INSTITUTO TECNICO EXPERIMENTAL DE FORMACIÓN INDUSTRIAL POR COOPERATIVA', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO PARTICULAR MIXTO TEZULUTLÁN', 'baja_verapaz')",[],baja_verapaz
"('LICEO SAN RAFAEL', 'baja_verapaz')",[],baja_verapaz
"('INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA', 'baja_verapaz')",[],baja_verapaz
"('CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX', 'baja_verapaz')",[],baja_verapaz
"('PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA', 'baja_verapaz')",[],baja_verapaz
"('CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX DEPARTAMENTAL', 'baja_verapaz')",[],baja_verapaz
"('INSTITUTO NACIONAL DE ADMINISTRACION DE EMPRESAS', 'baja_verapaz')",[],baja_verapaz
"('INSTITUTO TECNICO EXPERIMENTAL DE FORMACION INDUSTRIAL POR COOPERATIVA ITEFIC', 'baja_verapaz')",[],baja_verapaz
"('INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA IGER', 'baja_verapaz')",[],baja_verapaz
"('INSTITUTO NORMAL DE PRIMARIA BILINGUE INTERCULTURAL ADS. A ESCUELA NORMAL RURAL NO.4 DR. ELIZARDO URIZAR LEAL', 'baja_verapaz')",[],baja_verapaz
"('ESCUELA NORMAL DE EDUCACION FISICA', 'baja_verapaz')",[],baja_verapaz
"('INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO PARTICULAR BAUTISTA MIXTO', 'baja_verapaz')",[],baja_verapaz
"('CENTRO EDUCATIVO TECNOLÓGICO EL NAZARENO', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO PRIVADO MIXTO NAZARENO', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO PARTICULAR MIXTO NUEVO AMANECER', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO MIXTO PRIVADO SAN JOSE DE BETANCUR POR MADUREZ', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO PARTICULAR MIXTO SANTO DOMINGO', 'baja_verapaz')",[],baja_verapaz
"('CENTRO EDUCATIVO COMUNITARIO BILINGUE INTERCULTURAL NUEVA ESPERANZA RIO NEGRO', 'baja_verapaz')",[],baja_verapaz
"('ENBI OXLAJUJ NO´OJ', 'baja_verapaz')",[],baja_verapaz
"('LICEO PRIVADO MIXTO DE CIENCIAS COMERCIALES RABINAL ACHI ', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO PARTICULAR MIXTO VIDA NUEVA', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO INTEGRAL NUEVA GENERACIÓN', 'baja_verapaz')",[],baja_verapaz
"('CENTRO EDUCATIVO ESTUDIANTIL CON ORIENTACIÓN EN COMPUTACIÓN', 'baja_verapaz')",[],baja_verapaz
"('CENTRO CULTURAL DE AMERICA', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO MIXTO PRIVADO MARIA ESMERALDA', 'baja_verapaz')",[],baja_verapaz
"('CENTRO EDUCATIVO MEDALLA MILAGROSA', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO MIXTO ZAMANEB', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO INTEGRAL NUEVA GENERACION', 'baja_verapaz')",[],baja_verapaz
"('CENTRO EDUCATIVO NUEVA ESPERANZA', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO INTERCULTURAL TUNCAJ', 'baja_verapaz')",[],baja_verapaz
"('LICEO AMANECER EN VICTORIA', 'baja_verapaz')",[],baja_verapaz
"('CENTRO DE ESTUDIOS MAGISTERIALES CEM', 'baja_verapaz')",[],baja_verapaz
"('CENTRO DE ESTUDIOS MAGISTERIALES CEM ', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO PARTICULAR MIXTO VALLE DEL URRAM', 'baja_verapaz')",[],baja_verapaz
"('INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO PARTICULAR MIXTO SAN JERONIMO', 'baja_verapaz')",[],baja_verapaz
"('INSTITUTO TÉCNICO DE CAPACITACIÓN Y PRODUCTIVIDAD INTECAP', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO PARTICULAR MIXTO SAN JERÓNIMO', 'baja_verapaz')",[],baja_verapaz
"('INSTITUTO MIXTO PARTICULAR VERAPAZ', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO PARTICULAR MIXTO PURULHA PROFA. MARIA ZOE LOPEZ', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO PARTICULAR MIXTO PURULHÁ PROFESORA MARÍA ZOE LÓPEZ', 'baja_verapaz')",[],baja_verapaz
"('LICEO INTEGRAL PURULENSE VICTORIA', 'baja_verapaz')",[],baja_verapaz
"('COLEGIO TECNICO PROGRESISTA CETECPRO', 'capital')",[],capital
"('INSTITUTO NORMAL PARA SEÑORITAS CENTRO AMERICA', 'capital')",[],capital
"('ESCUELA NACIONAL CENTRAL DE FORMACION SECRETARIAL', 'capital')",[],capital
"('ESCUELA NORMAL PARA MAESTROS DE EDUCACION MUSICAL JESUS MARIA ALVARADO', 'capital')",[],capital
"('INSTITUTO NACIONAL DE BACHILLERATO EN COMPUTACION', 'capital')",[],capital
"('ESCUELA NACIONAL DE CIENCIAS COMERCIALES', 'capital')",[],capital
"('ESCUELA NACIONAL DE ADMINISTRACION PUBLICA LIC. MANUEL GREGORIO LOPEZ SANTIAGO', 'capital')",[],capital
"('INSTITUTO DE EDUCACION DIVERSIFICADA CENTRO DE ENSEÑANZA DE INGLES SISTEMATIZADA CEIS', 'capital')",[],capital
"('LICEO MIXTO CIENCIAS SECRETARIALES', 'capital')",[],capital
"('INSTITUTO NORMAL CASA CENTRAL ', 'capital')",[],capital
"('LICEO TECNOLOGICO GUATEMALA DE LA ASUNCIÓN', 'capital')",[],capital
"('INSTITUTO FEDERICO CROWE ', 'capital')",[],capital
"('INSTITUTO MIXTO COACTEMALAN', 'capital')",[],capital
"('INSTITUTO PROFESIONAL DE TECNICAS COMERCIALES ESPECIALIZADAS IPTCE', 'capital')",[],capital
"('CENTRO DE ESTUDIOS EN CIENCIAS DE LA COMUNICACION CESCO', 'capital')",[],capital
"('INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LA ENSEÑANZA', 'capital')",[],capital
"('LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION', 'capital')",[],capital
"('INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA CENTRO DE ESTUDIOS MERCADOLOGICOS Y PUBLICITARIOS', 'capital')",[],capital
"('INSTITUTO DE EDUCACION DIVERSIFICADA COLEGIO LA ENSEÑANZA', 'capital')",[],capital
"('CENTRO EDUCACIONAL GUATEMALTECO', 'capital')",[],capital
"('INSTITUTO MIXTO MIGUEL DE CERVANTES ', 'capital')",[],capital
"('INSTITUTO NACIONAL CENTRAL PARA VARONES', 'capital')",[],capital
"('INSTITUTO NACIONAL DE BACHILLERATO ADSC. AL INCA', 'capital')",[],capital
"('INSTITUTO NORMAL CENTRAL PARA SEÑORITAS BELEN', 'capital')",[],capital
"('INSTITUTO NORMAL MIXTO RAFAEL AQUECHE', 'capital')",[],capital
"('INSTITUTO NORMAL MIXTO NOCTURNO', 'capital')",[],capital
"('COLEGIO PARROQUIAL DEL CALVARIO MATEO PERRONE', 'capital')",[],capital
"('COLEGIO CATOLICO SAN PABLO', 'capital')",[],capital
"('COLEGIO PARA VARONES SAN SEBASTIAN', 'capital')",[],capital
"('COLEGIO SALESIANO DON BOSCO', 'capital')",[],capital
"('CENTRO DE ESTUDIOS WINBRIDGE', 'capital')",[],capital
"('LICEO FRANCES ', 'capital')",[],capital
"('COLEGIO SANTA MONICA', 'capital')",[],capital
"('COLEGIO EL ROSARIO ', 'capital')",[],capital
"('INSTITUTO DE EDUCACION DIVERSIFICADA COLEGIO EUROPEO ', 'capital')",[],capital
"('COLEGIO COMERCIAL GUATEMALTECO', 'capital')",[],capital
"('COLEGIO BELGA GUATEMALTECO', 'capital')",[],capital
"('COLEGIO DE SEÑORITAS EL SAGRADO CORAZÓN', 'capital')",[],capital
"('LICEO MODERNO', 'capital')",[],capital
"('INSTITUTO PRIVADO PARA SEÑORITAS DE EDUCACION DIVERSIFICADA COLEGIO SANTA MARGARITA', 'capital')",[],capital
"('INSTITUTO PRIVADO PARA SEÑORITAS DE EDUCACION DIVERSIFICADA BILINGUE GUATEMALTECO', 'capital')",[],capital
